id,name,spotify_id
6170ae15-cebc-46af-87cb-4004eedbb28d,Holly,6GYDtejA4mZbU2k0cnWMSN
f3723a24-4ea3-4b8f-b147-1ff0344cb0c7,Stephen,64N1HzkQEXvjlJBQinWeu2
3e2c8089-730b-4a99-81b1-5c0b0029e51b,KANG DANIEL,5vGoWnZO65NBgiZYBmi3iW
06748e2f-eb46-407b-96bc-2ebdaeffaf5e,A.M.R,1VYDrE9BSCRxSX8VHVJZNc
a1c1a045-783f-4d72-9da0-f3ea052c237f,Hot Date!,01KcNDCU45PjQiPz2VCnzV
742c7b38-5e3f-47c1-a288-3a8a5b97585f,Drove,6gqVaWZY9PVt1Lf42j4sZI
bedfaffb-4819-4ae5-99f5-0d6a8fd16176,Topi,6WP0h3qR0awvIWPMvE72F8
b62d26b2-53ae-42d7-a66b-07498faca11e,Lauren L'aimant,2M2QzPADSybcVig2CBTcFJ
cda84637-b2ea-4081-9707-b1529ba98d27,VØJ,4KRllJ2dEeoqvxOQLOgOsI
65280e81-a879-47bd-9f52-bbbaabc21f61,23,2kelxK5xqN9sWqWnc7qT4J
652cd0be-cc5f-4fa4-bb88-2958831902c5,Ubo,5peplsISsiy24ahC61Z5Wr
cb1a0c99-0695-497e-8842-80e9d5698969,EMEL,1U6FdBYgMkeRjQFuTF5JYr
0e44fc8a-3772-409e-a93e-f99b19baa648,Jo.E,1huIFRAUYkJ5VQ9GcXcUax
4b93b1e7-e50f-45a5-958f-6093ae452bb4,A.M.C,5DygptUY6coQHpmgFfISzQ
c2af54ba-74ee-4511-9379-6ad29c198af6,PVC,5UNXmWQKKqqBCxmcotxXmO
72eadab2-90cf-45b4-872c-54fd3500459e,LAR,2w3NdJswSn39l3TU9vIRq0
817fa604-a77a-4d89-8c96-dfce2a18fd68,OAI,518xSxGVtLL5ck9r5xzasg
6d972455-9edc-4621-b6af-12f9bf65aabc,LTN,2IK99qf3aYxFWkgCkc7kQ3
0b234d82-5bb0-4f30-aca6-09dc3ad5fd03,k?d,714O3xvBNiclo82vxBn8Bf
80d16806-8385-434c-a006-e6ea814bd221,UZ,2hndbDJCfHwD1o2ZTzKLMo
1ea58b6d-5a3e-4e8e-869a-82ce94fcb398,YAKO,1ZJKQZxGglvAs0xBFBMzht
ead9f51c-b1a5-4e49-bdd1-5fdd586a16ae,I.Y.F.F.E,0tqCXWVRTvS1rQl4diCNCh
8b85601c-1c4b-41f1-b325-05a421be2e8b,Eater,5o9dfJmonwleJh7VcO5m3Z
45f37bd0-1931-420d-95b1-47bda97e156a,M A R N i E,5IIMk50U5mxPCeusKFjHph
0e63f186-6cf6-43b0-9f17-2298cd3821c6,Volt,2kKSibjeb2x2e6L3VjJkRu
88659410-f063-4026-84a6-217ca9253ccb,KC,0HnFImXmf8r1qmmyFwDXMt
4dae2995-4a64-40ec-926a-bf5fb7dd7aab,Alex H,3VJS76xe6UUj7Qo2S9gxvB
ba4be37e-a152-4433-b3a0-7381adbcc103,EDDIE,0LgrViZrCyMgg5MfTc33bd
fc82df9c-dc6c-4b5f-92c8-e7aa76dd671f,The Night,2OcXhxBYCCNRNR4EYXs8ov
b610739e-3dcb-4ac5-8ea7-febf0175e638,Harvey,4p5OJUjMqi3l98prXVbGC9
fda2b171-d51c-4c34-8c42-86773e601d4a,RILEY,38SHprY6NUd8O9LyWJ4hg4
c5f6985c-f7aa-497e-87d5-564d0b88d5cf,Neville,2gt9YfYa9tUbY9grQKYwi1
9cdc6a94-97b9-41ff-8774-f524e4febc66,IVORY,4820AP0lvBGJjSK0PXgZgo
d9d7d5c5-46ec-41e1-a070-b7f3205af461,Blosso,5Jn30mbNDGHLSxfCUZc7XM
b513b289-253f-4c61-93f6-267cef059564,Andrew A,01BNEFdzawMyAXoHVdtyPx
867149bb-b835-4258-8fde-c735966e16cf,A-SHO,1nMwu5ui0X2XYTRKGmCFJz
e826a9ba-f391-449e-85ed-df38e0d0e328,yh,0XXXr950CcIxSf1cbFBjGb
088a6943-9ce9-41e8-8626-dad3c98295c5,ESPER,4qxyQRkuA00BdgRmKhzSC2
5c92d530-d29b-43fd-b135-e59f5b879f04,SØL,4lIm4NzXKTs3bHWxUq2C5a
15d91e8a-096c-4d36-b809-60f1d871c5a3,Vin,2aDShFDjvKxrb7FKzUvkz6
